magnitude,cdi,mmi,sig,nst,dmin,gap,depth,latitude,longitude,Year,Month,tsunami,magnitude_cat_strong,depth_cat_shallow,year_cat_after_2020,year_cat_before_2010
6.6,0.0,5.0,670,491,0.0,11.5,31.0,-6.475,154.607,2013,4,1,False,True,False,False
7.0,3.0,7.0,755,640,0.0,11.4,66.0,-3.517,138.476,2013,4,1,False,True,False,False
6.5,0.0,6.0,650,317,0.0,14.2,28.0,-6.598,148.174,2013,3,1,False,True,False,False
6.5,3.0,6.0,651,480,0.0,20.7,29.0,50.958,157.408,2013,3,0,False,True,False,False
6.9,5.0,6.0,736,531,0.0,20.0,41.0,50.954,157.283,2013,2,1,False,True,False,False
6.6,0.0,7.0,670,697,0.0,15.3,11.0,67.631,142.508,2013,2,1,False,True,False,False
6.6,0.0,6.0,670,421,0.0,16.6,18.0,-10.994,165.741,2013,2,1,False,True,False,False
7.1,5.0,6.0,780,334,0.0,16.5,21.0,-10.928,166.018,2013,2,1,True,True,False,False
6.8,0.0,7.0,711,400,0.0,17.5,12.0,-10.838,165.969,2013,2,1,False,True,False,False
6.7,0.0,6.0,691,387,0.0,26.5,11.0,-10.997,165.655,2013,2,1,False,True,False,False
7.0,0.0,6.0,754,445,0.0,17.5,8.8,-10.499,165.588,2013,2,0,False,True,False,False
7.1,0.0,5.0,776,550,0.0,18.4,10.0,-11.183,164.882,2013,2,0,True,True,False,False
6.8,6.0,7.0,771,596,0.0,19.3,45.0,-28.094,-70.653,2013,1,0,False,True,False,False
7.5,6.0,6.0,1425,0,0.0,0.0,8.7,55.228,-134.859,2013,1,0,True,True,False,False
7.3,6.0,6.0,1014,918,0.0,14.8,31.0,37.89,143.949,2012,12,0,True,True,False,False
6.8,7.0,6.0,795,391,0.0,13.7,13.7,23.005,95.885,2012,11,0,False,True,False,False
7.4,8.0,7.0,1455,751,0.0,25.5,24.0,13.988,-91.895,2012,11,0,True,True,False,False
7.8,8.0,7.0,1726,807,0.0,42.7,14.0,52.788,-132.101,2012,10,0,True,True,False,False
6.5,6.0,6.0,745,691,0.0,34.4,17.0,10.086,-85.298,2012,10,0,False,True,False,False
6.6,3.0,5.0,675,291,0.0,17.7,13.0,-4.892,134.03,2012,10,0,False,True,False,False
7.6,8.0,7.0,1555,703,0.0,34.3,26.0,10.085,-85.315,2012,9,0,True,False,False,False
7.6,8.0,5.0,1115,682,0.0,10.2,28.0,10.811,126.638,2012,8,0,True,True,False,False
7.3,5.0,5.0,994,417,0.0,37.0,28.0,12.139,-88.59,2012,8,0,True,True,False,False
6.6,4.0,5.0,678,497,0.0,14.6,91.1,2.19,126.837,2012,8,0,False,False,False,False
6.5,5.0,6.0,653,576,0.0,11.7,26.0,-4.651,153.173,2012,7,0,False,False,False,False
6.7,0.0,7.0,691,370,0.0,15.4,16.0,-1.617,134.276,2012,4,0,False,True,False,False
6.7,0.0,7.0,691,518,0.0,26.9,29.0,-32.625,-71.365,2012,4,0,False,True,False,False
7.1,7.0,7.0,1496,553,0.0,15.2,40.7,-35.2,-72.217,2012,3,0,True,True,False,False
7.4,9.0,8.0,1752,672,0.0,37.9,20.0,16.493,-98.231,2012,3,0,True,True,False,False
6.7,7.0,6.0,833,596,0.0,13.4,26.0,51.708,95.991,2012,2,0,False,False,False,False
6.7,9.0,7.0,1551,572,0.0,11.1,11.0,9.999,123.206,2012,2,0,False,True,False,False
7.1,5.0,5.0,793,573,0.0,12.0,23.0,-17.827,167.133,2012,2,0,True,True,False,False
7.2,4.0,4.0,838,443,0.0,20.0,19.0,2.433,93.21,2012,1,0,True,True,False,False
6.6,0.0,7.0,670,545,0.0,17.6,15.0,51.842,95.911,2011,12,0,False,True,False,False
6.5,8.0,7.0,1400,578,0.0,38.6,59.0,17.986,-99.789,2011,12,0,False,True,False,False
6.9,6.0,7.0,847,474,0.0,46.5,24.0,-14.438,-75.966,2011,10,0,False,True,False,False
7.1,9.0,9.0,1096,693,0.0,19.7,18.0,38.721,43.508,2011,10,0,True,True,False,False
6.5,3.0,6.0,655,423,0.0,12.6,37.0,-6.57,147.881,2011,10,0,False,True,False,False
6.9,8.0,8.0,1562,383,0.0,20.0,50.0,27.73,88.155,2011,9,0,False,True,False,False
6.7,5.0,5.0,712,667,0.0,10.9,30.0,40.273,142.779,2011,9,0,False,True,False,False
6.7,5.0,6.0,915,447,0.0,15.3,91.0,2.965,97.893,2011,9,0,False,False,False,False
7.1,5.0,6.0,787,564,0.0,20.0,28.0,-18.311,168.218,2011,8,0,True,True,False,False
6.5,5.0,5.0,650,322,0.0,15.0,35.0,-18.308,168.156,2011,8,0,False,True,False,False
7.2,8.0,6.0,813,280,0.0,18.4,32.0,-18.365,168.143,2011,8,0,True,True,False,False
6.6,3.0,6.0,674,229,0.0,16.6,10.0,-3.518,144.828,2011,7,0,False,True,False,False
7.6,3.0,7.0,893,567,0.0,33.5,17.0,-29.539,-176.34,2011,7,0,True,True,False,False
6.7,6.0,6.0,749,592,0.0,24.9,33.0,39.955,142.205,2011,6,0,False,True,False,False
6.8,4.0,5.0,734,519,0.0,12.5,11.0,-20.244,168.226,2011,5,0,False,True,False,False
6.8,5.0,6.0,719,445,0.0,13.0,79.0,-10.375,161.2,2011,4,0,False,False,False,False
6.6,7.0,7.0,822,586,0.0,10.1,11.0,37.001,140.401,2011,4,0,False,True,False,False
7.1,8.0,8.0,1114,446,0.0,17.7,42.0,38.276,141.588,2011,4,0,True,True,False,False
6.9,7.0,9.0,1154,335,0.0,18.2,8.0,20.687,99.822,2011,3,0,False,True,False,False
6.6,6.0,6.0,673,668,0.0,9.5,25.7,39.241,142.463,2011,3,0,False,True,False,False
6.5,0.0,4.0,650,369,0.0,18.7,6.8,36.166,141.562,2011,3,0,False,True,False,False
7.7,7.0,4.0,931,507,0.0,20.0,18.6,38.058,144.59,2011,3,0,True,True,False,False
6.8,8.0,7.0,1140,163,0.0,48.4,42.6,36.281,141.111,2011,3,0,False,True,False,False
7.3,5.0,5.0,972,550,0.0,17.4,32.0,38.435,142.842,2011,3,0,True,True,False,False
6.7,5.0,6.0,731,358,0.0,33.9,21.0,-35.38,-72.834,2011,2,0,False,True,False,False
6.9,7.0,7.0,988,382,0.0,34.7,26.0,-36.422,-72.96,2011,2,0,False,True,False,False
7.2,7.0,7.0,1449,372,0.0,25.3,26.0,28.777,63.951,2011,1,0,True,False,False,False
7.0,2.0,5.0,755,578,0.0,13.3,9.0,-20.628,168.471,2011,1,0,False,True,False,False
7.2,8.0,7.0,1054,397,0.0,30.1,24.0,-38.355,-73.326,2011,1,0,True,True,False,False
7.3,0.0,5.0,820,409,0.0,12.0,16.0,-19.702,167.947,2010,12,0,True,True,False,True
6.7,3.0,7.0,708,279,0.0,24.3,12.0,28.412,59.18,2010,12,0,False,True,False,True
6.6,0.0,6.0,670,306,0.0,18.5,33.0,-6.001,149.977,2010,12,0,False,True,False,True
7.8,4.0,7.0,946,379,0.0,23.0,20.1,-3.487,100.082,2010,10,0,True,True,False,True
6.7,5.0,5.0,776,352,0.0,50.3,13.0,24.696,-109.156,2010,10,0,False,True,False,True
7.0,8.0,5.0,772,271,0.0,15.1,26.0,-4.963,133.76,2010,9,0,False,True,False,True
7.0,8.0,8.0,1245,365,0.0,15.8,12.0,-43.522,171.83,2010,9,0,False,True,False,True
7.3,7.0,7.0,850,405,0.0,20.2,25.0,-17.541,168.069,2010,8,0,True,True,False,True
7.0,4.0,6.0,757,396,0.0,12.7,44.0,-5.746,150.765,2010,8,0,False,True,False,True
7.3,8.0,7.0,831,397,0.0,18.2,35.0,-5.931,150.59,2010,7,0,True,True,False,True
6.9,4.0,7.0,737,456,0.0,15.7,28.0,-5.966,150.428,2010,7,0,False,True,False,True
6.6,6.0,7.0,753,295,0.0,52.8,22.0,-38.067,-73.31,2010,7,0,False,True,False,True
6.7,5.0,6.0,696,392,0.0,18.7,35.0,-10.627,161.447,2010,6,0,False,True,False,True
6.6,0.0,7.0,670,309,0.0,25.0,10.5,-2.329,136.484,2010,6,0,False,True,False,True
7.0,3.0,7.0,755,307,0.0,18.1,18.0,-2.174,136.543,2010,6,0,False,True,False,True
7.5,6.0,5.0,1144,514,0.0,18.6,26.0,7.881,91.936,2010,6,0,True,False,False,True
6.8,5.0,6.0,804,327,0.0,11.7,31.0,-13.698,166.643,2010,5,0,False,True,False,True
7.2,5.0,6.0,918,611,0.0,20.6,26.0,3.748,96.018,2010,5,0,True,False,False,True
6.9,6.0,9.0,773,410,0.0,14.9,17.0,33.165,96.548,2010,4,0,False,True,False,True
6.9,4.0,5.0,740,399,0.0,12.1,21.0,-10.878,161.116,2010,4,0,False,True,False,True
7.8,0.0,7.0,936,352,0.0,19.2,31.0,2.383,97.048,2010,4,0,True,True,False,True
6.6,5.0,6.0,701,413,0.0,16.7,34.0,13.667,92.831,2010,3,0,False,True,False,True
6.7,5.0,6.0,856,312,0.0,34.7,18.0,-36.217,-73.257,2010,3,0,False,True,False,True
6.5,6.0,5.0,810,491,0.0,27.0,32.0,37.745,141.59,2010,3,0,False,True,False,True
7.0,7.0,7.0,874,403,0.0,20.0,18.0,-34.326,-71.799,2010,3,0,False,True,False,True
6.9,7.0,7.0,1280,415,0.0,12.5,11.0,-34.29,-71.891,2010,3,0,False,True,False,True
6.8,5.0,6.0,717,401,0.0,23.2,26.0,-3.762,100.991,2010,3,0,False,True,False,True
6.6,7.0,7.0,736,255,0.0,27.8,18.0,-36.665,-73.374,2010,3,0,False,True,False,True
7.4,0.0,5.0,842,409,0.0,17.6,35.0,-37.773,-75.048,2010,2,0,True,True,False,True
7.0,6.0,6.0,1180,487,0.0,15.7,25.0,25.93,128.425,2010,2,0,False,True,False,True
7.0,9.0,6.0,1623,500,0.0,22.7,13.0,18.443,-72.571,2010,1,0,False,True,False,True
6.8,3.0,6.0,713,338,0.0,15.0,15.4,-9.019,157.551,2010,1,0,False,True,False,True
7.1,5.0,7.0,780,377,0.0,15.0,10.0,-8.783,157.354,2010,1,0,True,True,False,True
6.6,5.0,7.0,672,282,0.0,16.6,10.0,-8.726,157.487,2010,1,0,False,True,False,True
6.5,6.0,7.0,698,390,0.0,17.7,27.0,-19.394,-70.321,2009,11,0,False,True,False,True
6.6,7.0,6.0,677,305,0.0,20.4,18.0,-8.207,118.631,2009,11,0,False,True,False,True
6.8,0.0,6.0,711,424,0.0,21.4,34.0,29.218,129.782,2009,10,0,False,True,False,True
6.8,0.0,5.0,711,174,0.0,30.2,35.0,-13.298,165.91,2009,10,0,False,True,False,True
7.4,0.0,7.0,842,314,0.0,20.2,31.1,-13.093,166.497,2009,10,0,True,True,False,True
7.8,0.0,6.0,936,195,0.0,20.3,35.0,-12.517,166.382,2009,10,0,True,True,False,True
7.7,4.0,7.0,916,283,0.0,23.2,45.0,-13.006,166.51,2009,10,0,True,True,False,True
6.6,7.0,7.0,787,417,0.0,30.1,9.0,-2.482,101.524,2009,10,0,False,True,False,True
7.6,8.0,8.0,1639,498,0.0,14.0,81.0,-0.72,99.867,2009,9,0,True,False,False,True
7.0,7.0,7.0,1175,312,0.0,16.3,46.0,-7.782,107.297,2009,9,0,False,True,False,True
6.7,5.0,6.0,753,369,0.0,14.9,20.0,-1.479,99.49,2009,8,0,False,True,False,True
6.6,4.0,5.0,703,336,0.0,14.1,53.0,32.821,140.395,2009,8,0,False,True,False,True
7.5,7.0,6.0,1248,303,0.0,18.2,24.0,14.099,92.902,2009,8,0,True,True,False,True
6.9,5.0,7.0,1202,243,0.0,35.0,10.0,29.039,-112.903,2009,8,0,False,True,False,True
7.8,6.0,8.0,1165,434,0.0,16.8,12.0,-45.762,166.562,2009,7,0,True,True,False,True
6.7,5.0,5.0,693,269,0.0,13.8,64.0,-5.157,153.782,2009,6,0,False,True,False,True
7.3,7.0,8.0,1560,464,0.0,27.2,19.0,16.731,-86.217,2009,5,0,True,True,False,True
7.6,7.0,5.0,916,504,0.0,14.0,31.0,-23.043,-174.66,2009,3,0,True,True,False,True
7.2,3.0,7.0,802,432,0.0,18.6,20.0,3.886,126.387,2009,2,0,True,True,False,True
7.4,7.0,7.0,846,314,0.0,21.1,23.0,-0.691,133.305,2009,1,0,True,True,False,True
7.7,5.0,7.0,918,288,0.0,29.8,26.0,-0.414,132.885,2009,1,0,True,False,False,True
7.4,9.0,7.0,848,365,0.0,33.7,30.0,1.271,122.091,2008,11,0,True,True,False,True
6.7,5.0,6.0,731,481,0.0,28.6,24.0,14.423,-92.364,2008,10,0,False,True,False,True
6.7,0.0,6.0,691,529,0.0,22.3,27.4,39.533,73.824,2008,10,0,False,True,False,True
6.8,0.0,6.0,711,500,0.0,22.2,25.0,41.892,143.754,2008,9,0,False,True,False,True
6.7,4.0,6.0,692,325,0.0,28.0,12.0,30.901,83.52,2008,8,0,False,True,False,True
7.0,5.0,5.0,840,577,0.0,18.2,22.0,37.552,142.214,2008,7,0,False,True,False,True
6.9,5.0,5.0,825,0,0.0,0.0,25.5,37.55,142.714,2008,7,0,False,True,False,True
6.6,4.0,5.0,680,630,0.0,18.4,17.0,11.005,91.824,2008,6,0,False,True,False,True
6.9,7.0,8.0,888,654,0.0,17.1,7.8,39.03,140.881,2008,6,0,False,True,False,True
6.8,5.0,9.0,1870,774,0.0,11.3,19.0,31.002,103.322,2008,5,0,False,True,False,True
6.9,5.0,5.0,910,519,0.0,21.1,26.0,36.164,141.526,2008,5,0,False,False,False,True
7.3,0.0,6.0,820,486,0.0,13.4,33.0,-20.071,168.892,2008,4,0,True,True,False,True
7.2,0.0,7.0,798,532,0.0,25.9,10.0,35.49,81.467,2008,3,0,True,True,False,True
6.9,5.0,5.0,740,544,0.0,25.9,24.0,13.351,125.63,2008,3,0,False,True,False,True
6.7,5.0,6.0,696,543,0.0,15.1,25.0,-2.245,99.808,2008,2,0,False,True,False,True
6.6,4.0,6.0,674,421,0.0,17.7,25.0,-2.332,99.891,2008,2,0,False,True,False,True
7.2,4.0,7.0,832,505,0.0,18.4,25.0,-2.486,99.972,2008,2,0,True,True,False,True
6.5,4.0,6.0,654,429,0.0,28.3,22.0,-2.405,99.931,2008,2,0,False,True,False,True
7.4,5.0,7.0,914,607,0.0,16.4,26.0,2.768,95.964,2008,2,0,True,True,False,True
6.5,8.0,5.0,692,650,0.0,30.7,28.0,36.345,21.863,2008,2,0,False,True,False,True
6.9,6.0,6.0,941,645,0.0,30.6,29.0,36.501,21.67,2008,2,0,False,True,False,True
6.5,7.0,6.0,723,521,0.0,27.6,83.0,16.357,-94.304,2008,2,0,False,False,False,True
6.8,7.0,6.0,808,461,0.0,20.0,20.0,-39.011,178.291,2007,12,0,False,True,False,True
6.7,5.0,7.0,704,481,0.0,30.3,45.0,-22.954,-70.182,2007,12,0,False,True,False,True
6.6,3.0,6.0,672,280,0.0,26.9,16.0,-10.95,162.149,2007,11,0,False,True,False,True
6.5,5.0,7.0,653,272,0.0,27.6,18.0,-8.224,118.467,2007,11,0,False,True,False,True
6.5,7.0,6.0,657,353,0.0,27.5,20.0,-8.292,118.37,2007,11,0,False,True,False,True
6.8,6.0,6.0,722,341,0.0,15.9,53.0,-5.757,147.098,2007,11,0,False,True,False,True
6.8,6.0,7.0,716,285,0.0,40.1,26.0,-22.925,-70.237,2007,11,0,False,False,False,True
7.7,8.0,7.0,995,610,0.0,22.4,40.0,-22.247,-69.89,2007,11,0,True,True,False,True
6.8,3.0,5.0,713,494,0.0,23.9,21.0,-3.899,101.02,2007,10,0,False,True,False,True
6.8,4.0,7.0,744,338,0.0,19.0,18.0,-44.796,167.553,2007,10,0,False,True,False,True
6.8,4.0,5.0,713,348,0.0,15.5,40.0,-4.99,153.5,2007,9,0,False,True,False,True
6.7,3.0,5.0,696,503,0.0,26.9,30.0,-1.999,100.141,2007,9,0,False,True,False,True
7.0,5.0,7.0,768,537,0.0,23.1,22.0,-2.13,99.627,2007,9,0,False,True,False,True
6.5,0.0,5.0,650,409,0.0,26.2,28.9,-1.689,99.668,2007,9,0,False,True,False,True
7.8,7.0,8.0,1152,0,0.0,0.0,40.5,-2.52,100.139,2007,9,0,True,True,False,True
6.8,5.0,6.0,747,653,0.0,17.6,15.0,2.966,-77.963,2007,9,0,False,True,False,True
7.2,0.0,5.0,798,312,0.0,21.3,35.0,-11.61,165.762,2007,9,0,True,True,False,True
6.5,5.0,6.0,675,382,0.0,12.8,15.0,-9.834,159.465,2007,8,0,False,True,False,True
7.2,7.0,6.0,803,494,0.0,20.4,26.0,-15.595,167.68,2007,8,0,True,False,False,True
6.9,3.0,5.0,734,374,0.0,24.1,25.0,2.872,127.464,2007,7,0,False,True,False,True
6.6,8.0,8.0,831,782,0.0,20.0,12.0,37.535,138.446,2007,7,0,False,True,False,True
6.7,6.0,6.0,972,468,0.0,37.7,23.0,13.554,-90.618,2007,6,0,False,True,False,True
6.9,0.0,7.0,732,305,0.0,15.3,10.0,-7.306,155.741,2007,4,0,False,True,False,True
6.6,0.0,7.0,670,251,0.0,16.0,10.0,-7.169,155.777,2007,4,0,False,True,False,True
6.7,7.0,8.0,782,493,0.0,23.9,8.0,37.336,136.588,2007,3,0,False,True,False,True
7.1,3.0,6.0,779,426,0.0,25.3,34.0,-20.617,169.357,2007,3,0,True,True,False,True
6.7,0.0,6.0,691,253,0.0,20.0,12.0,-1.034,126.976,2007,2,0,False,True,False,True
7.5,6.0,5.0,874,570,0.0,20.0,22.0,1.065,126.282,2007,1,0,True,True,False,True
6.9,6.0,7.0,798,466,0.0,31.6,10.0,21.974,120.493,2006,12,0,False,True,False,True
7.1,8.0,7.0,1023,744,0.0,29.1,10.0,21.799,120.547,2006,12,0,True,True,False,True
6.6,0.0,6.0,670,352,0.0,18.6,11.0,-6.482,151.195,2006,11,0,False,True,False,True
6.7,5.0,6.0,732,444,0.0,53.4,23.0,-13.457,-76.677,2006,10,0,False,True,False,True
6.7,5.0,6.0,692,533,0.0,15.6,32.0,-5.881,150.982,2006,10,0,False,True,False,True
6.9,3.0,3.0,737,702,0.0,20.9,28.0,-16.592,-172.033,2006,9,0,False,True,False,True
6.8,0.0,6.0,711,459,0.0,28.4,38.0,-6.759,155.512,2006,9,0,False,True,False,True
6.5,0.0,6.0,650,700,0.0,47.4,43.0,51.148,157.522,2006,8,0,False,True,False,True
7.7,7.0,5.0,947,357,0.0,36.8,20.0,-9.284,107.419,2006,7,0,True,True,False,True
6.5,5.0,6.0,650,477,0.0,20.3,34.0,-5.724,151.133,2006,5,0,False,True,False,True
6.8,5.0,7.0,670,548,0.0,28.0,19.0,60.772,165.743,2006,5,0,False,True,False,True
6.8,4.0,5.0,719,701,0.0,16.3,12.0,0.093,97.05,2006,5,0,False,True,False,True
6.5,7.0,6.0,653,282,0.0,46.3,12.0,-27.211,-71.056,2006,4,0,False,True,False,True
6.7,6.0,7.0,696,277,0.0,25.6,12.0,-27.017,-71.022,2006,4,0,False,True,False,True
6.6,0.0,8.0,670,645,0.0,28.4,11.0,60.491,167.516,2006,4,0,False,True,False,True
7.6,0.0,8.0,889,579,0.0,20.0,22.0,60.949,167.089,2006,4,0,True,True,False,True
6.5,3.0,5.0,654,247,0.0,25.5,14.0,-16.527,176.989,2006,4,0,False,True,False,True
6.7,0.0,7.0,691,306,0.0,21.3,30.1,-3.595,127.214,2006,3,0,False,True,False,True
7.0,5.0,9.0,891,412,0.0,23.2,26.0,-21.324,33.583,2006,2,0,False,False,False,True
6.7,7.0,6.0,934,769,0.0,19.7,66.0,36.311,23.212,2006,1,0,False,True,False,True
6.6,7.0,6.0,703,323,0.0,48.2,14.0,28.164,-112.117,2006,1,0,False,True,False,True
6.8,5.0,7.0,744,561,0.0,20.0,22.0,-6.224,29.83,2005,12,0,False,True,False,True
6.5,4.0,5.0,683,464,0.0,48.8,29.0,38.089,142.122,2005,12,0,False,True,False,True
6.5,3.0,6.0,651,358,0.0,20.7,21.0,2.164,96.786,2005,11,0,False,True,False,True
7.6,9.0,9.0,1267,724,0.0,21.1,26.0,34.539,73.588,2005,10,0,True,True,False,True
6.6,0.0,6.0,670,402,0.0,17.7,25.0,-5.437,151.84,2005,9,0,False,True,False,True
7.6,5.0,7.0,891,502,0.0,20.0,90.0,-4.539,153.474,2005,9,0,True,False,False,True
7.2,7.0,7.0,1104,698,0.0,19.6,36.0,38.276,142.039,2005,8,0,True,True,False,True
7.2,4.0,5.0,808,636,0.0,20.0,26.0,7.92,92.19,2005,7,0,True,False,False,True
6.8,3.0,6.0,693,398,0.0,22.3,21.0,1.819,97.082,2005,7,0,False,True,False,True
6.6,6.0,5.0,719,446,0.0,21.1,27.0,11.245,-86.172,2005,7,0,False,True,False,True
7.2,5.0,4.0,1318,420,0.0,31.4,16.0,41.292,-125.953,2005,6,0,True,True,False,True
6.9,5.0,7.0,740,635,0.0,26.0,30.0,1.989,97.041,2005,5,0,False,True,False,True
6.7,6.0,5.0,731,695,0.0,20.9,34.0,0.587,98.459,2005,5,0,False,True,False,True
6.5,5.0,6.0,657,478,0.0,21.2,30.0,-1.714,99.779,2005,4,0,False,True,False,True
6.7,5.0,6.0,717,656,0.0,21.2,19.0,-1.644,99.607,2005,4,0,False,True,False,True
6.6,8.0,7.0,805,401,0.0,22.9,10.0,33.807,130.131,2005,3,0,False,True,False,True
6.8,0.0,6.0,711,444,0.0,33.8,36.0,2.908,95.592,2005,2,0,False,True,False,True
6.8,0.0,6.0,650,371,0.0,31.8,10.0,-5.562,122.129,2005,2,0,False,True,False,True
6.5,3.0,5.0,652,286,0.0,47.3,39.7,4.756,126.421,2005,2,0,False,True,False,True
6.6,0.0,5.0,670,353,0.0,31.9,16.1,8.879,92.375,2004,12,0,False,True,False,True
7.2,5.0,6.0,802,385,0.0,27.9,39.2,6.91,92.958,2004,12,0,True,True,False,True
6.8,5.0,6.0,858,639,0.0,21.8,10.0,18.958,-81.409,2004,12,0,False,True,False,True
6.8,4.0,7.0,724,759,0.0,23.6,35.0,42.9,145.228,2004,12,0,False,True,False,True
7.0,4.0,7.0,771,929,0.0,20.0,39.0,43.006,145.119,2004,11,0,False,True,False,True
6.8,0.0,7.0,776,439,0.0,28.8,10.0,-3.609,135.404,2004,11,0,False,True,False,True
7.1,5.0,5.0,782,585,0.0,14.7,10.0,-46.676,164.721,2004,11,0,True,True,False,True
7.2,8.0,8.0,820,708,0.0,50.2,15.0,4.695,-77.508,2004,11,0,True,True,False,True
7.5,5.0,7.0,870,301,0.0,33.8,10.0,-8.152,124.868,2004,11,0,True,True,False,True
6.7,0.0,6.0,691,233,0.0,20.0,10.0,-11.128,162.208,2004,11,0,False,True,False,True
6.7,7.0,4.0,703,459,0.0,20.0,10.0,49.277,-128.772,2004,11,0,False,True,False,True
6.6,0.0,8.0,670,782,0.0,37.0,16.0,37.226,138.779,2004,10,0,False,True,False,True
7.0,0.0,6.0,754,441,0.0,32.2,35.0,11.422,-86.665,2004,10,0,False,True,False,True
6.8,0.0,6.0,711,545,0.0,15.7,36.0,-10.951,162.161,2004,10,0,False,True,False,True
6.6,0.0,4.0,670,478,0.0,29.8,10.0,33.205,137.227,2004,9,0,False,True,False,True
7.4,0.0,5.0,842,594,0.0,27.5,10.0,33.184,137.071,2004,9,0,True,True,False,True
7.2,0.0,5.0,798,643,0.0,28.4,14.0,33.07,136.618,2004,9,0,True,True,False,True
6.8,0.0,7.0,650,349,0.0,30.1,5.0,-35.173,-70.525,2004,8,0,False,True,False,True
6.5,0.0,7.0,650,305,0.0,39.0,13.4,-0.443,133.091,2004,7,0,False,True,False,True
6.6,0.0,7.0,670,282,0.0,46.9,21.0,-37.695,-73.406,2004,5,0,False,True,False,True
6.8,0.0,5.0,691,386,0.0,27.6,65.8,-9.362,122.839,2004,4,0,False,True,False,True
6.7,0.0,7.0,691,256,0.0,33.3,25.7,-3.665,135.339,2004,2,0,False,True,False,True
7.3,0.0,7.0,820,390,0.0,23.0,10.0,-4.003,135.023,2004,2,0,True,True,False,True
7.0,0.0,7.0,754,367,0.0,33.0,16.6,-3.615,135.538,2004,2,0,False,True,False,True
6.7,0.0,6.0,691,243,0.0,42.5,17.4,-3.12,127.4,2004,1,0,False,True,False,True
7.3,0.0,4.0,820,235,0.0,46.6,10.0,-22.015,169.766,2003,12,0,True,True,False,True
6.6,0.0,6.0,670,552,0.0,44.8,10.0,28.995,58.311,2003,12,0,False,True,False,True
6.5,0.0,6.0,650,405,0.0,48.4,33.0,8.416,-82.824,2003,12,0,False,True,False,True
6.5,7.0,9.0,1390,65,0.04685,20.0,8.382,35.7005,-121.101,2003,12,0,False,True,False,True
6.8,5.0,7.0,711,447,0.0,27.7,10.0,23.039,121.362,2003,12,0,False,True,False,True
6.6,0.0,6.0,670,384,0.0,25.1,35.0,-5.581,150.88,2003,11,0,False,True,False,True
6.8,0.0,6.0,650,487,0.0,45.9,35.0,12.025,125.416,2003,11,0,False,True,False,True
6.7,0.0,7.0,691,643,0.0,24.5,10.0,50.211,87.721,2003,10,0,False,True,False,True
7.3,0.0,7.0,820,667,0.0,24.5,16.0,50.038,87.813,2003,9,0,True,True,False,True
6.6,0.0,7.0,670,518,0.0,24.7,10.0,19.917,95.672,2003,9,0,False,True,False,True
7.2,0.0,7.0,798,428,0.0,17.5,28.0,-45.104,167.144,2003,8,0,True,True,False,True
7.6,0.0,6.0,889,315,0.0,25.2,10.0,-60.532,-43.411,2003,8,0,True,True,False,True
6.5,0.0,6.0,650,156,0.0,20.0,33.0,-3.828,152.174,2003,7,0,False,True,False,True
6.8,0.0,7.0,711,398,0.0,39.1,33.0,-30.608,-71.637,2003,6,0,False,True,False,True
6.6,5.0,6.0,670,419,0.0,27.8,33.0,-5.095,152.502,2003,6,0,False,True,False,True
7.0,0.0,6.0,754,473,0.0,30.3,31.0,2.354,128.855,2003,5,0,False,True,False,True
6.8,0.0,7.0,754,690,0.0,19.1,68.0,38.849,141.568,2003,5,0,False,True,False,True
6.8,0.0,9.0,711,534,0.0,19.4,12.0,36.964,3.634,2003,5,0,False,True,False,True
6.5,0.0,7.0,650,247,0.0,28.7,33.0,-8.294,120.743,2003,3,0,False,True,False,True
6.8,0.0,7.0,711,431,0.0,38.4,40.2,-4.694,153.238,2003,3,0,False,True,False,True
7.6,0.0,7.0,889,551,0.0,0.0,24.0,18.77,-104.104,2003,1,0,True,True,False,True
6.5,0.0,6.0,650,316,0.0,0.0,24.0,13.626,-90.774,2003,1,0,False,True,False,True
6.8,0.0,6.0,820,457,0.0,0.0,26.0,-10.491,160.77,2003,1,0,False,False,False,True
6.7,5.0,5.0,691,323,0.0,0.0,71.9,-5.311,153.701,2003,1,0,False,False,False,True
6.7,0.0,6.0,691,453,0.0,0.0,34.0,-4.786,153.275,2002,12,0,False,True,False,True
7.4,0.0,7.0,842,418,0.0,0.0,30.0,2.824,96.085,2002,11,0,True,True,False,True
6.6,0.0,7.0,670,0,0.0,0.0,4.2,63.5144,-147.912,2002,10,0,False,True,False,True
6.7,0.0,7.0,691,250,0.0,0.0,10.0,-1.511,133.973,2002,10,0,False,True,False,True
7.6,0.0,7.0,889,375,0.0,0.0,10.0,-1.757,134.297,2002,10,0,True,True,False,True
6.5,0.0,6.0,650,646,0.0,0.0,26.0,13.036,93.068,2002,9,0,False,False,False,True
7.6,0.0,7.0,889,428,0.0,0.0,13.0,-3.302,142.945,2002,9,0,True,True,False,True
6.5,0.0,4.0,650,260,0.0,0.0,30.0,14.101,146.199,2002,8,0,False,True,False,True
6.5,0.0,7.0,650,533,0.0,0.0,10.0,7.929,-82.793,2002,7,0,False,True,False,True
6.5,0.0,8.0,650,555,0.0,0.0,10.0,35.626,49.047,2002,6,0,False,True,False,True
6.6,0.0,7.0,670,420,0.0,0.0,54.0,-30.805,-71.124,2002,6,0,False,True,False,True
6.7,0.0,6.0,691,272,0.0,0.0,33.0,-12.592,166.383,2002,6,0,False,True,False,True
